Portfolios-100-2-uniform-500-randomAdd-0.010000-elite-0.300000-1
0-96--1 [ 1.000000, 1.000000 ]
1-91-96 [ 0.742089, 1.203870 ]
2-76-91 [ 0.850971, 1.129535 ]
3-99-76 [ 0.756315, 1.194985 ]
4-93-99 [ 1.409400, 0.116587 ]
5-94-93 [ 1.227976, 0.701481 ]
6-86-94 [ 0.468522, 1.334349 ]
7-95-86 [ 1.413855, 0.031839 ]
8-96-95 [ 1.358933, 0.391537 ]
9-84-96 [ 0.468296, 1.334428 ]
10-96-84 [ 0.224985, 1.396203 ]
11-92-96 [ 0.443529, 1.342863 ]
12-74-92 [ 1.147423, 0.826692 ]
13-82-74 [ 1.082683, 0.909834 ]
14-82-82 [ 0.817304, 1.154129 ]
15-92-82 [ 1.391097, 0.254653 ]
16-74-92 [ 1.381959, 0.300313 ]
17-78-74 [ 1.355866, 0.402029 ]
18-74-78 [ 1.410149, 0.107141 ]
19-73-74 [ 1.323971, 0.497092 ]
20-94-73 [ 1.372302, 0.341742 ]
21-72-94 [ 1.404413, 0.166209 ]
22-99-72 [ 0.142370, 1.407029 ]
23-72-99 [ 0.982146, 1.017541 ]
24-72-72 [ 1.122975, 0.859609 ]
25-99-72 [ 1.347836, 0.428179 ]
26-76-99 [ 1.379876, 0.309744 ]
27-94-76 [ 1.348872, 0.424904 ]
28-75-94 [ 1.113636, 0.871674 ]
29-84-75 [ 0.621617, 1.270272 ]
30-71-84 [ 1.409097, 0.120194 ]
31-99-71 [ 1.327869, 0.486584 ]
32-72-99 [ 1.283900, 0.592960 ]
33-78-72 [ 1.309179, 0.534838 ]
34-86-78 [ 1.323954, 0.497136 ]
35-92-86 [ 1.402734, 0.179827 ]
36-85-92 [ 0.182900, 1.402336 ]
37-94-85 [ 0.477362, 1.331212 ]
38-72-94 [ 1.277253, 0.607144 ]
39-78-72 [ 0.093730, 1.411104 ]
40-86-78 [ 0.130035, 1.408223 ]
41-73-86 [ 1.341283, 0.448286 ]
42-71-73 [ 1.343007, 0.443093 ]
43-91-71 [ 1.295051, 0.568193 ]
44-90-91 [ 1.333301, 0.471497 ]
45-84-90 [ 1.123373, 0.859088 ]
46-82-84 [ 0.526087, 1.312720 ]
47-93-82 [ 1.073041, 0.921186 ]
48-72-93 [ 1.283429, 0.593979 ]
49-81-72 [ 0.345310, 1.371408 ]
50-100-81 [ 1.399808, 0.201343 ]
51-88-100 [ 1.411124, 0.093423 ]
