Portfolios-100-2-uniform-500-randomAdd-0.010000-elite-0.300000-1
500-1-82 [ 0.659291, 1.251134 ]
500-2-96 [ 1.408599, 0.125889 ]
500-3-90 [ 1.163180, 0.804370 ]
500-4-87 [ 1.379698, 0.310538 ]
500-5-98 [ 1.199833, 0.748599 ]
500-6-88 [ 1.075976, 0.917756 ]
500-7-83 [ 0.975958, 1.023478 ]
500-8-96 [ 0.786409, 1.175398 ]
500-9-91 [ 0.563423, 1.297133 ]
500-10-76 [ 1.413331, 0.049941 ]
500-11-100 [ 0.898564, 1.092055 ]
500-12-76 [ 1.413575, 0.042501 ]
500-13-73 [ 1.251374, 0.658835 ]
500-14-88 [ 1.130790, 0.849302 ]
500-15-97 [ 0.761895, 1.191434 ]
500-16-95 [ 1.316667, 0.516128 ]
500-17-73 [ 0.821300, 1.151289 ]
500-18-88 [ 0.524178, 1.313483 ]
500-19-82 [ 1.321035, 0.504843 ]
500-20-73 [ 0.790574, 1.172601 ]
500-21-85 [ 1.142308, 0.833746 ]
500-22-93 [ 1.408740, 0.124307 ]
500-23-83 [ 1.413909, 0.029365 ]
500-24-97 [ 1.186783, 0.769120 ]
500-25-71 [ 1.041544, 0.956653 ]
500-26-97 [ 1.182879, 0.775111 ]
500-27-92 [ 0.755782, 1.195321 ]
500-28-76 [ 1.412948, 0.059806 ]
500-29-96 [ 1.398226, 0.212049 ]
500-30-100 [ 0.881503, 1.105872 ]
500-31-84 [ 1.335355, 0.465648 ]
500-32-97 [ 0.917542, 1.076158 ]
500-33-92 [ 1.400928, 0.193393 ]
500-34-84 [ 0.920436, 1.073684 ]
500-35-73 [ 1.162714, 0.805044 ]
500-36-79 [ 1.394688, 0.234192 ]
500-37-90 [ 1.337772, 0.458656 ]
500-38-85 [ 1.312840, 0.525785 ]
500-39-84 [ 0.988417, 1.011450 ]
500-40-94 [ 0.660378, 1.250560 ]
500-41-97 [ 0.300984, 1.381814 ]
500-42-86 [ 0.797484, 1.167912 ]
500-43-76 [ 1.413155, 0.054706 ]
500-44-88 [ 1.165496, 0.801012 ]
500-45-83 [ 1.268792, 0.624633 ]
500-46-80 [ 0.059948, 1.412942 ]
500-47-76 [ 1.413310, 0.050552 ]
500-48-75 [ 0.957510, 1.040757 ]
500-49-96 [ 1.059987, 0.936177 ]
500-50-77 [ 1.394466, 0.235512 ]
500-51-82 [ 1.357846, 0.395289 ]
500-52-78 [ 0.438847, 1.344401 ]
500-53-72 [ 0.895513, 1.094557 ]
500-54-85 [ 0.627658, 1.267298 ]
500-55-99 [ 1.366754, 0.363297 ]
500-56-90 [ 1.367223, 0.361525 ]
500-57-91 [ 0.176356, 1.403174 ]
500-58-98 [ 0.426045, 1.348513 ]
500-59-78 [ 0.515825, 1.316786 ]
500-60-74 [ 0.621227, 1.270463 ]
500-61-82 [ 1.320886, 0.505233 ]
500-62-72 [ 1.361521, 0.382440 ]
500-63-97 [ 0.412308, 1.352776 ]
500-64-91 [ 1.214546, 0.724484 ]
500-65-89 [ 1.255233, 0.651453 ]
500-66-99 [ 0.968614, 1.030431 ]
500-67-84 [ 0.891621, 1.097730 ]
500-68-82 [ 0.730788, 1.210764 ]
500-69-85 [ 0.594884, 1.283009 ]
500-70-90 [ 1.351271, 0.417212 ]
500-71-78 [ 0.741774, 1.204064 ]
500-72-87 [ 1.322110, 0.502021 ]
500-73-90 [ 0.633891, 1.264192 ]
500-74-83 [ 1.414108, 0.017300 ]
500-75-87 [ 0.958429, 1.039911 ]
500-76-89 [ 1.393388, 0.241803 ]
500-77-77 [ 0.762866, 1.190813 ]
500-78-99 [ 1.310445, 0.531728 ]
500-79-85 [ 1.121935, 0.860966 ]
500-80-89 [ 1.077058, 0.916486 ]
500-81-78 [ 0.646222, 1.257934 ]
500-82-73 [ 1.362150, 0.380192 ]
500-83-96 [ 0.807806, 1.160797 ]
500-84-74 [ 0.577708, 1.290835 ]
500-85-91 [ 0.667157, 1.246957 ]
500-86-90 [ 0.646947, 1.257561 ]
500-87-98 [ 0.299829, 1.382065 ]
500-88-84 [ 0.701721, 1.227839 ]
500-89-75 [ 1.412904, 0.060851 ]
500-90-77 [ 1.318435, 0.511595 ]
500-91-100 [ 1.404630, 0.164363 ]
500-92-77 [ 1.343605, 0.441276 ]
500-93-87 [ 0.750319, 1.198758 ]
500-94-83 [ 0.834087, 1.142059 ]
500-95-84 [ 0.551537, 1.302232 ]
500-96-90 [ 0.956247, 1.041917 ]
500-97-96 [ 0.887819, 1.100808 ]
500-98-97 [ 0.380137, 1.362166 ]
500-99-82 [ 1.356562, 0.399675 ]
500-100-85 [ 0.803134, 1.164034 ]
